ACTE_OBJ_ID,ACTE_BRA,ACTE_NOM,ACTE_PER,UNIE_OBJ_ID
19173,1,"MATHEMATIQUE-NOTIONS GENERALES",60,11077
19173,1,"MATHEMATIQUE-NOTIONS GENERALES",60,11078
19174,1,MATHEMATIQUES,50,11079
19174,1,MATHEMATIQUES,50,11080
19175,2,AUTONOMIE,10,11079
19175,2,AUTONOMIE,10,36055
19175,2,AUTONOMIE,10,32700
19175,2,AUTONOMIE,10,36039
19175,2,AUTONOMIE,10,35977
19175,2,AUTONOMIE,10,35973
19175,2,AUTONOMIE,10,35972
19175,2,AUTONOMIE,10,35971
19175,2,AUTONOMIE,10,35970
19175,2,AUTONOMIE,10,35969
19175,2,AUTONOMIE,10,35968
19175,2,AUTONOMIE,10,35967
19175,2,AUTONOMIE,10,35966
19175,2,AUTONOMIE,10,35148
19175,2,AUTONOMIE,10,34473
19175,2,AUTONOMIE,10,34472
19175,2,AUTONOMIE,10,34465
19175,2,AUTONOMIE,10,34412
19175,2,AUTONOMIE,10,34385
19175,2,AUTONOMIE,10,34377
19175,2,AUTONOMIE,10,34362
19175,2,AUTONOMIE,10,34361
19175,2,AUTONOMIE,10,34360
19175,2,AUTONOMIE,10,34358
19175,2,AUTONOMIE,10,34357
19175,2,AUTONOMIE,10,34355
19175,2,AUTONOMIE,10,34343
19175,2,AUTONOMIE,10,33494
19175,2,AUTONOMIE,10,35140
19175,2,AUTONOMIE,10,35106
19175,2,AUTONOMIE,10,35063
19175,2,AUTONOMIE,10,19130
19175,2,AUTONOMIE,10,19084
19175,2,AUTONOMIE,10,19043
19175,2,AUTONOMIE,10,18968
19175,2,AUTONOMIE,10,18967
19175,2,AUTONOMIE,10,18797
19175,2,AUTONOMIE,10,18795
19175,2,AUTONOMIE,10,18766
19175,2,AUTONOMIE,10,18764
19175,2,AUTONOMIE,10,18761
19175,2,AUTONOMIE,10,17821
19175,2,AUTONOMIE,10,14550
19175,2,AUTONOMIE,10,14544
19175,2,AUTONOMIE,10,14479
19175,2,AUTONOMIE,10,14460
19175,2,AUTONOMIE,10,14428
19175,2,AUTONOMIE,10,14404
19175,2,AUTONOMIE,10,14400
19175,2,AUTONOMIE,10,14257
19175,2,AUTONOMIE,10,14210
19175,2,AUTONOMIE,10,14209
19175,2,AUTONOMIE,10,14197
19175,2,AUTONOMIE,10,14196
19175,2,AUTONOMIE,10,14195
19175,2,AUTONOMIE,10,14142
19175,2,AUTONOMIE,10,14114
19175,2,AUTONOMIE,10,14102
19175,2,AUTONOMIE,10,14101
19175,2,AUTONOMIE,10,14081
19175,2,AUTONOMIE,10,14037
19175,2,AUTONOMIE,10,13849
19175,2,AUTONOMIE,10,12862
19175,2,AUTONOMIE,10,12682
19175,2,AUTONOMIE,10,17333
19175,2,AUTONOMIE,10,17808
19175,2,AUTONOMIE,10,17747
19175,2,AUTONOMIE,10,37885
19175,2,AUTONOMIE,10,37883
19175,2,AUTONOMIE,10,37824
19175,2,AUTONOMIE,10,37382
19175,2,AUTONOMIE,10,37336
19175,2,AUTONOMIE,10,36956
19175,2,AUTONOMIE,10,36853
19175,2,AUTONOMIE,10,36796
19175,2,AUTONOMIE,10,36728
19175,2,AUTONOMIE,10,36659
19175,2,AUTONOMIE,10,36487
19175,2,AUTONOMIE,10,36276
19175,2,AUTONOMIE,10,36275
19175,2,AUTONOMIE,10,36220
19175,2,AUTONOMIE,10,36217
19175,2,AUTONOMIE,10,36216
19175,2,AUTONOMIE,10,36165
19175,2,AUTONOMIE,10,36164
19175,2,AUTONOMIE,10,36140
19175,2,AUTONOMIE,10,36137
19175,2,AUTONOMIE,10,36117
19175,2,AUTONOMIE,10,36486
19175,2,AUTONOMIE,10,36485
19175,2,AUTONOMIE,10,36483
19175,2,AUTONOMIE,10,36358
19175,2,AUTONOMIE,10,36330
19175,2,AUTONOMIE,10,36327
19175,2,AUTONOMIE,10,36326
19175,2,AUTONOMIE,10,36320
19175,2,AUTONOMIE,10,36315
19175,2,AUTONOMIE,10,36313
19175,2,AUTONOMIE,10,36311
19175,2,AUTONOMIE,10,36357
19175,2,AUTONOMIE,10,36356
19175,2,AUTONOMIE,10,36355
19175,2,AUTONOMIE,10,36348
19175,2,AUTONOMIE,10,36347
19175,2,AUTONOMIE,10,37746
19175,2,AUTONOMIE,10,37730
19175,2,AUTONOMIE,10,37571
19175,2,AUTONOMIE,10,37567
19175,2,AUTONOMIE,10,37676
19175,2,AUTONOMIE,10,37675
19175,2,AUTONOMIE,10,37672
19175,2,AUTONOMIE,10,15101
19175,2,AUTONOMIE,10,14815
19175,2,AUTONOMIE,10,14806
19175,2,AUTONOMIE,10,14781
19175,2,AUTONOMIE,10,14706
19175,2,AUTONOMIE,10,14641
19175,2,AUTONOMIE,10,11439
19175,2,AUTONOMIE,10,11438
19175,2,AUTONOMIE,10,11426
19175,2,AUTONOMIE,10,11080
19175,2,AUTONOMIE,10,12303
19175,2,AUTONOMIE,10,12258
19175,2,AUTONOMIE,10,12093
19175,2,AUTONOMIE,10,11788
19175,2,AUTONOMIE,10,11754
19175,2,AUTONOMIE,10,11598
19175,2,AUTONOMIE,10,11597
19175,2,AUTONOMIE,10,17037
19175,2,AUTONOMIE,10,16938
19175,2,AUTONOMIE,10,16886
19175,2,AUTONOMIE,10,16832
19175,2,AUTONOMIE,10,16778
19175,2,AUTONOMIE,10,16769
19175,2,AUTONOMIE,10,16741
19175,2,AUTONOMIE,10,16706
19175,2,AUTONOMIE,10,16637
19175,2,AUTONOMIE,10,16491
19175,2,AUTONOMIE,10,16490
19175,2,AUTONOMIE,10,18483
19175,2,AUTONOMIE,10,18094
19175,2,AUTONOMIE,10,18459
19175,2,AUTONOMIE,10,18410
19175,2,AUTONOMIE,10,18337
19175,2,AUTONOMIE,10,18266
19175,2,AUTONOMIE,10,18260
19175,2,AUTONOMIE,10,13687
19175,2,AUTONOMIE,10,13299
19175,2,AUTONOMIE,10,13686
19175,2,AUTONOMIE,10,13685
19175,2,AUTONOMIE,10,13684
19175,2,AUTONOMIE,10,13681
19175,2,AUTONOMIE,10,13377
19175,2,AUTONOMIE,10,35569
19176,1,MATHEMATIQUES,64,34989
19176,1,MATHEMATIQUES,64,34945
19176,1,MATHEMATIQUES,64,11081
19176,1,MATHEMATIQUES,64,11100
19177,2,AUTONOMIE,16,11100
19177,2,AUTONOMIE,16,34945
19177,2,AUTONOMIE,16,34974
19177,2,AUTONOMIE,16,34965
19177,2,AUTONOMIE,16,34964
19177,2,AUTONOMIE,16,34963
19177,2,AUTONOMIE,16,34953
19177,2,AUTONOMIE,16,34952
